WELL_ID,X_M,Y_M,ZONE,DATA_TYPE,DEPTH_M,POROSITY,PERMEABILITY_MD,DENSITY_GCC,WATER_SATURATION,OIL_SATURATION,LAB_ID,YEAR,PZ,PS,GK,NGK
Well_43,4669,3555,Зона_В,core,1941.2,0.1597,427.52,2.437,0.3343,0.4912,Lab_A,2000.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,1964.1,0.0923,1.56,2.494,0.3229,0.4844,Lab_B,2018.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2037.2,0.0912,4.8,2.521,0.2023,0.5255,Lab_A,2005.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2069.2,0.1376,62.03,2.43,0.4654,0.3918,Lab_B,2018.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2101.1,0.1617,656.63,2.39,0.4708,0.3809,Lab_A,2015.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2287.2,0.1414,231.83,2.452,0.2582,0.6751,Lab_B,2005.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2300.6,0.1544,584.54,2.447,0.3846,0.5233,Lab_A,2015.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2303.8,0.1473,9.9,2.46,0.3353,0.5673,Lab_C,2005.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2312.6,0.1533,69.47,2.457,0.1504,0.8062,Lab_C,2012.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2423.5,0.1026,11.86,2.509,0.3498,0.5436,Lab_B,2008.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2476.3,0.1469,102.73,2.435,0.4579,0.4295,Lab_C,2005.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2496.6,0.1397,9.63,2.492,0.4147,0.4855,Lab_C,1995.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2536.6,0.0912,0.35,2.54,0.4482,0.4611,Lab_A,2012.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2576.1,0.1606,48.82,2.409,0.1353,0.5991,Lab_B,2015.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2584.5,0.0876,5.27,2.489,0.5467,0.3036,Lab_B,2008.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2589.4,0.0885,23.37,2.517,0.2951,0.4946,Lab_B,2000.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2603.6,0.121,6.51,2.465,0.2831,0.5777,Lab_A,1995.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2605.8,0.1381,111.73,2.433,0.1806,0.5035,Lab_A,2018.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2667.0,0.123,1328.4,2.449,0.3794,0.4051,Lab_A,2012.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2811.0,0.0812,1.38,2.546,0.1043,0.7252,Lab_B,2008.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2827.6,0.1112,13.37,2.47,0.4975,0.4232,Lab_B,2000.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2835.9,0.1228,4.02,2.421,0.1508,0.6417,Lab_B,1995.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2885.7,0.03,0.01,2.655,0.318,0.4989,Lab_B,2005.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,core,2902.2,0.0988,2.07,2.506,0.3405,0.458,Lab_C,2000.0,nan,nan,nan,nan
Well_43,4669,3555,Зона_В,gis,1724.3,nan,nan,nan,nan,nan,nan,nan,nan,61.08,6.61,122.44
Well_43,4669,3555,Зона_В,gis,1724.8,nan,nan,nan,nan,nan,nan,nan,20.891,63.17,8.114,126.55
Well_43,4669,3555,Зона_В,gis,1725.3,nan,nan,nan,nan,nan,nan,nan,24.713,59.06,7.808,141.37
Well_43,4669,3555,Зона_В,gis,1725.8,nan,nan,nan,nan,nan,nan,nan,34.703,59.12,8.276,114.91
Well_43,4669,3555,Зона_В,gis,1726.3,nan,nan,nan,nan,nan,nan,nan,22.187,63.78,6.447,132.74
Well_43,4669,3555,Зона_В,gis,1726.8,nan,nan,nan,nan,nan,nan,nan,26.317,64.45,6.985,130.14
Well_43,4669,3555,Зона_В,gis,1727.3,nan,nan,nan,nan,nan,nan,nan,25.64,62.86,7.273,123.33
Well_43,4669,3555,Зона_В,gis,1727.8,nan,nan,nan,nan,nan,nan,nan,30.94,62.58,7.403,124.91
Well_43,4669,3555,Зона_В,gis,1728.3,nan,nan,nan,nan,nan,nan,nan,25.974,nan,7.459,114.39
Well_43,4669,3555,Зона_В,gis,1728.8,nan,nan,nan,nan,nan,nan,nan,20.393,66.29,7.314,124.84
Well_43,4669,3555,Зона_В,gis,1729.3,nan,nan,nan,nan,nan,nan,nan,30.698,66.46,6.098,110.32
Well_43,4669,3555,Зона_В,gis,1729.8,nan,nan,nan,nan,nan,nan,nan,16.702,63.94,7.539,124.89
Well_43,4669,3555,Зона_В,gis,1730.3,nan,nan,nan,nan,nan,nan,nan,27.649,63.48,7.022,118.65
Well_43,4669,3555,Зона_В,gis,1730.8,nan,nan,nan,nan,nan,nan,nan,21.558,61.94,7.099,126.2
Well_43,4669,3555,Зона_В,gis,1731.3,nan,nan,nan,nan,nan,nan,nan,25.635,70.75,7.184,113.55
Well_43,4669,3555,Зона_В,gis,1731.8,nan,nan,nan,nan,nan,nan,nan,26.317,66.07,7.239,118.42
Well_43,4669,3555,Зона_В,gis,1732.3,nan,nan,nan,nan,nan,nan,nan,20.222,62.48,6.632,119.93
Well_43,4669,3555,Зона_В,gis,1732.8,nan,nan,nan,nan,nan,nan,nan,42.286,64.28,7.27,120.52
Well_43,4669,3555,Зона_В,gis,1733.3,nan,nan,nan,nan,nan,nan,nan,23.234,69.29,7.379,105.2
Well_43,4669,3555,Зона_В,gis,1733.8,nan,nan,nan,nan,nan,nan,nan,43.031,72.46,6.297,120.94
Well_43,4669,3555,Зона_В,gis,1734.3,nan,nan,nan,nan,nan,nan,nan,29.025,62.91,6.578,111.04
Well_43,4669,3555,Зона_В,gis,1734.8,nan,nan,nan,nan,nan,nan,nan,40.162,68.82,7.401,119.37
Well_43,4669,3555,Зона_В,gis,1735.3,nan,nan,nan,nan,nan,nan,nan,19.21,65.85,8.823,nan
Well_43,4669,3555,Зона_В,gis,1735.8,nan,nan,nan,nan,nan,nan,nan,34.936,60.82,7.391,131.4
Well_43,4669,3555,Зона_В,gis,1736.3,nan,nan,nan,nan,nan,nan,nan,19.791,63.26,6.524,120.28
Well_43,4669,3555,Зона_В,gis,1736.8,nan,nan,nan,nan,nan,nan,nan,26.555,60.75,7.482,116.62
Well_43,4669,3555,Зона_В,gis,1737.3,nan,nan,nan,nan,nan,nan,nan,28.808,68.43,6.195,123.78
Well_43,4669,3555,Зона_В,gis,1737.8,nan,nan,nan,nan,nan,nan,nan,16.765,69.38,6.573,124.19
Well_43,4669,3555,Зона_В,gis,1738.3,nan,nan,nan,nan,nan,nan,nan,19.852,66.46,7.399,121.93
Well_43,4669,3555,Зона_В,gis,1738.8,nan,nan,nan,nan,nan,nan,nan,22.591,59.4,7.202,127.39
Well_43,4669,3555,Зона_В,gis,1739.3,nan,nan,nan,nan,nan,nan,nan,31.002,69.4,6.77,120.61
Well_43,4669,3555,Зона_В,gis,1739.8,nan,nan,nan,nan,nan,nan,nan,30.137,63.66,6.868,128.93
Well_43,4669,3555,Зона_В,gis,1740.3,nan,nan,nan,nan,nan,nan,nan,22.657,61.64,7.401,122.41
Well_43,4669,3555,Зона_В,gis,1740.8,nan,nan,nan,nan,nan,nan,nan,nan,59.79,7.838,124.43
Well_43,4669,3555,Зона_В,gis,1741.3,nan,nan,nan,nan,nan,nan,nan,20.42,62.46,nan,123.32
Well_43,4669,3555,Зона_В,gis,1741.8,nan,nan,nan,nan,nan,nan,nan,36.213,62.73,7.799,113.22
Well_43,4669,3555,Зона_В,gis,1742.3,nan,nan,nan,nan,nan,nan,nan,17.488,62.28,7.792,118.59
Well_43,4669,3555,Зона_В,gis,1742.8,nan,nan,nan,nan,nan,nan,nan,19.292,64.82,7.026,126.67
Well_43,4669,3555,Зона_В,gis,1743.3,nan,nan,nan,nan,nan,nan,nan,37.785,65.86,7.687,124.5
Well_43,4669,3555,Зона_В,gis,1743.8,nan,nan,nan,nan,nan,nan,nan,23.698,62.83,6.72,124.63
Well_43,4669,3555,Зона_В,gis,1744.3,nan,nan,nan,nan,nan,nan,nan,34.66,63.13,7.115,128.47
Well_43,4669,3555,Зона_В,gis,1744.8,nan,nan,nan,nan,nan,nan,nan,26.431,nan,6.593,120.03
Well_43,4669,3555,Зона_В,gis,1745.3,nan,nan,nan,nan,nan,nan,nan,33.646,68.34,7.28,115.91
Well_43,4669,3555,Зона_В,gis,1745.8,nan,nan,nan,nan,nan,nan,nan,32.787,59.16,7.724,125.52
Well_43,4669,3555,Зона_В,gis,1746.3,nan,nan,nan,nan,nan,nan,nan,33.316,64.66,6.001,119.88
Well_43,4669,3555,Зона_В,gis,1746.8,nan,nan,nan,nan,nan,nan,nan,23.299,58.57,7.301,128.79
Well_43,4669,3555,Зона_В,gis,1747.3,nan,nan,nan,nan,nan,nan,nan,22.594,62.95,9.015,133.2
Well_43,4669,3555,Зона_В,gis,1747.8,nan,nan,nan,nan,nan,nan,nan,43.857,67.07,6.703,106.01
Well_43,4669,3555,Зона_В,gis,1748.3,nan,nan,nan,nan,nan,nan,nan,23.548,64.58,7.466,111.12
Well_43,4669,3555,Зона_В,gis,1748.8,nan,nan,nan,nan,nan,nan,nan,29.422,64.34,7.648,122.44
