Скважина;X;Y;Зона;Тип;Глубина;Пористость;Проницаемость;Плотность;Кв;Кн;Лаборатория;Год;PZ;PS;GK;NGK
Well_7;4730;882;Зона_В;core;2162,7;0,1509;737,02;2,479;0,4505;0,3586;Lab_C;2008,0;;;;
Well_7;4730;882;Зона_В;core;2299,8;0,1014;1,04;2,511;0,3114;0,5766;Lab_B;2015,0;;;;
Well_7;4730;882;Зона_В;core;2325,1;0,1339;63,05;2,56;0,2461;0,6915;Lab_C;2018,0;;;;
Well_7;4730;882;Зона_В;core;2336,3;0,0937;0,11;2,545;0,3235;0,4309;Lab_A;2008,0;;;;
Well_7;4730;882;Зона_В;core;2429,6;0,112;0,17;2,548;0,2731;0,5731;Lab_A;2012,0;;;;
Well_7;4730;882;Зона_В;core;2429,8;0,0934;2,46;2,574;0,1532;0,7731;Lab_C;2008,0;;;;
Well_7;4730;882;Зона_В;core;2474,2;0,058;0,01;2,597;0,1786;0,5352;Lab_A;2008,0;;;;
Well_7;4730;882;Зона_В;core;2520,0;0,0932;1,1;2,503;0,2804;0,5939;Lab_B;2005,0;;;;
Well_7;4730;882;Зона_В;core;2523,6;0,0428;0,01;2,613;0,4337;0,51;Lab_A;2015,0;;;;
Well_7;4730;882;Зона_В;core;2524,0;0,0776;0,02;2,565;0,1352;0,7297;Lab_B;2018,0;;;;
Well_7;4730;882;Зона_В;core;2693,6;0,0743;0,84;2,533;0,3161;0,6209;Lab_A;1995,0;;;;
Well_7;4730;882;Зона_В;core;2709,4;0,0709;0,07;2,581;0,2709;0,5228;Lab_B;2000,0;;;;
Well_7;4730;882;Зона_В;core;2732,2;0,1199;6,76;2,518;0,4612;0,4848;Lab_C;2000,0;;;;
Well_7;4730;882;Зона_В;core;2748,3;0,0628;0,14;2,59;0,3128;0,6183;Lab_A;2015,0;;;;
Well_7;4730;882;Зона_В;core;2807,2;0,0839;0,06;2,558;0,5074;0,411;Lab_B;2000,0;;;;
Well_7;4730;882;Зона_В;core;2871,9;0,0629;0,02;2,612;0,3997;0,5547;Lab_C;1995,0;;;;
Well_7;4730;882;Зона_В;core;2929,9;0,1018;21,2;2,565;0,1749;0,5481;Lab_C;2008,0;;;;
Well_7;4730;882;Зона_В;core;2991,5;0,0508;0,21;2,597;0,3874;0,3676;Lab_A;1995,0;;;;
Well_7;4730;882;Зона_В;core;3001,7;0,1354;5,49;2,48;0,2923;0,6671;Lab_C;2008,0;;;;
Well_7;4730;882;Зона_В;core;3052,4;0,0339;0,01;2,632;0,1902;0,585;Lab_C;2005,0;;;;
Well_7;4730;882;Зона_В;core;3074,1;0,1101;8,11;2,529;0,3084;0,4641;Lab_A;2000,0;;;;
Well_7;4730;882;Зона_В;core;3076,1;0,1276;26,14;2,474;0,2831;0,5675;Lab_C;2015,0;;;;
Well_7;4730;882;Зона_В;core;3160,4;0,1265;2,51;2,523;0,5506;0,4056;Lab_C;2012,0;;;;
Well_7;4730;882;Зона_В;gis;1894,5;;;;;;;;15,334;37,4;11,116;166,38
Well_7;4730;882;Зона_В;gis;1895,0;;;;;;;;27,701;37,29;11,597;182,94
Well_7;4730;882;Зона_В;gis;1895,5;;;;;;;;25,817;;10,977;172,97
Well_7;4730;882;Зона_В;gis;1896,0;;;;;;;;17,607;35,11;11,502;164,23
Well_7;4730;882;Зона_В;gis;1896,5;;;;;;;;33,243;35,94;11,115;183,32
Well_7;4730;882;Зона_В;gis;1897,0;;;;;;;;26,11;39,95;10,95;168,71
Well_7;4730;882;Зона_В;gis;1897,5;;;;;;;;30,511;36,94;11,731;175,43
Well_7;4730;882;Зона_В;gis;1898,0;;;;;;;;46,123;31,22;11,84;182,4
Well_7;4730;882;Зона_В;gis;1898,5;;;;;;;;;38,0;11,879;176,59
Well_7;4730;882;Зона_В;gis;1899,0;;;;;;;;26,519;38,74;11,365;181,07
Well_7;4730;882;Зона_В;gis;1899,5;;;;;;;;34,163;41,68;11,143;171,44
Well_7;4730;882;Зона_В;gis;1900,0;;;;;;;;29,181;29,31;11,33;173,36
Well_7;4730;882;Зона_В;gis;1900,5;;;;;;;;21,44;32,75;10,38;179,84
Well_7;4730;882;Зона_В;gis;1901,0;;;;;;;;52,783;40,03;10,901;176,99
