Скважина;X;Y;Зона;Тип;Глубина;Пористость;Проницаемость;Плотность;Кв;Кн;Лаборатория;Год;PZ;PS;GK;NGK
Well_4;2529;816;Зона_Б;core;2179,5;0,1274;177,27;2,495;0,3241;0,5986;Lab_B;2000,0;;;;
Well_4;2529;816;Зона_Б;core;2194,1;0,095;5,23;2,497;0,287;0,6588;Lab_B;2008,0;;;;
Well_4;2529;816;Зона_Б;core;2202,1;0,1159;24,28;2,477;0,4238;0,4834;Lab_B;2005,0;;;;
Well_4;2529;816;Зона_Б;core;2263,7;0,0949;14,48;2,572;0,2954;0,5001;Lab_B;2018,0;;;;
Well_4;2529;816;Зона_Б;core;2278,5;0,0657;1,69;2,561;0,3608;0,5985;Lab_B;2008,0;;;;
Well_4;2529;816;Зона_Б;core;2304,1;0,1197;134,69;2,555;0,4098;0,444;Lab_C;2008,0;;;;
Well_4;2529;816;Зона_Б;core;2314,8;0,0846;1,83;2,581;0,1891;0,5491;Lab_B;2008,0;;;;
Well_4;2529;816;Зона_Б;core;2376,6;0,0596;2,25;2,591;0,4232;0,4601;Lab_B;2012,0;;;;
Well_4;2529;816;Зона_Б;core;2380,3;0,0709;1,09;2,605;0,2535;0,6205;Lab_B;2005,0;;;;
Well_4;2529;816;Зона_Б;core;2411,8;0,0518;0,01;2,618;0,1021;0,8511;Lab_B;2008,0;;;;
Well_4;2529;816;Зона_Б;core;2415,0;0,0697;0,03;2,589;0,1857;0,7681;Lab_A;2015,0;;;;
Well_4;2529;816;Зона_Б;core;2491,2;0,0506;0,08;2,62;0,2749;0,5396;Lab_B;1995,0;;;;
Well_4;2529;816;Зона_Б;core;2533,1;0,1269;95,59;2,497;0,4135;0,4798;Lab_B;2000,0;;;;
Well_4;2529;816;Зона_Б;core;2544,1;0,1314;31,82;2,496;0,2378;0,4999;Lab_A;2015,0;;;;
Well_4;2529;816;Зона_Б;core;2563,9;0,0508;0,13;2,632;0,1633;0,5467;Lab_A;2000,0;;;;
Well_4;2529;816;Зона_Б;core;2603,8;0,0759;0,36;2,548;0,424;0,4694;Lab_B;2015,0;;;;
Well_4;2529;816;Зона_Б;core;2624,0;0,08;0,65;2,56;0,1603;0,6907;Lab_B;2018,0;;;;
Well_4;2529;816;Зона_Б;core;2648,6;0,0691;0,44;2,59;0,2205;0,504;Lab_B;2018,0;;;;
Well_4;2529;816;Зона_Б;core;2721,0;0,0742;7,77;2,579;0,4012;0,3741;Lab_B;2008,0;;;;
Well_4;2529;816;Зона_Б;core;2775,1;0,0844;6,13;2,568;0,1164;0,6399;Lab_B;1995,0;;;;
Well_4;2529;816;Зона_Б;core;2797,0;0,0804;49,49;2,568;0,1826;0,5393;Lab_B;2012,0;;;;
Well_4;2529;816;Зона_Б;core;2811,5;0,076;0,83;2,574;0,572;0,3783;Lab_A;2008,0;;;;
Well_4;2529;816;Зона_Б;core;2906,4;0,0733;3,95;2,587;0,1662;0,6602;Lab_A;1995,0;;;;
Well_4;2529;816;Зона_Б;core;3019,9;0,0726;36,96;2,59;0,1939;0,6084;Lab_A;2018,0;;;;
Well_4;2529;816;Зона_Б;core;3040,7;0,0594;0,18;2,597;0,2414;0,4634;Lab_B;2012,0;;;;
Well_4;2529;816;Зона_Б;gis;1887,6;;;;;;;;28,711;39,61;11,241;182,3
Well_4;2529;816;Зона_Б;gis;1888,1;;;;;;;;19,881;43,32;11,202;171,77
Well_4;2529;816;Зона_Б;gis;1888,6;;;;;;;;17,596;39,91;10,497;170,15
Well_4;2529;816;Зона_Б;gis;1889,1;;;;;;;;39,495;35,2;10,747;166,46
Well_4;2529;816;Зона_Б;gis;1889,6;;;;;;;;31,99;36,24;10,513;175,42
Well_4;2529;816;Зона_Б;gis;1890,1;;;;;;;;28,878;51,27;10,45;163,54
Well_4;2529;816;Зона_Б;gis;1890,6;;;;;;;;28,209;40,19;9,816;166,83
Well_4;2529;816;Зона_Б;gis;1891,1;;;;;;;;30,449;48,26;9,76;166,43
Well_4;2529;816;Зона_Б;gis;1891,6;;;;;;;;21,028;40,89;10,404;
Well_4;2529;816;Зона_Б;gis;1892,1;;;;;;;;24,856;48,57;10,222;163,33
Well_4;2529;816;Зона_Б;gis;1892,6;;;;;;;;20,384;36,48;10,168;173,42
Well_4;2529;816;Зона_Б;gis;1893,1;;;;;;;;;44,77;10,191;168,37
Well_4;2529;816;Зона_Б;gis;1893,6;;;;;;;;15,495;36,87;11,501;187,65
Well_4;2529;816;Зона_Б;gis;1894,1;;;;;;;;12,746;39,72;10,785;164,79
Well_4;2529;816;Зона_Б;gis;1894,6;;;;;;;;14,417;44,81;11,092;176,57
Well_4;2529;816;Зона_Б;gis;1895,1;;;;;;;;17,338;36,54;11,455;173,32
Well_4;2529;816;Зона_Б;gis;1895,6;;;;;;;;15,819;42,96;10,888;169,63
Well_4;2529;816;Зона_Б;gis;1896,1;;;;;;;;24,981;38,14;11,11;175,39
Well_4;2529;816;Зона_Б;gis;1896,6;;;;;;;;17,972;33,16;10,905;
Well_4;2529;816;Зона_Б;gis;1897,1;;;;;;;;28,535;37,28;;181,53
Well_4;2529;816;Зона_Б;gis;1897,6;;;;;;;;42,379;42,12;10,997;164,5
Well_4;2529;816;Зона_Б;gis;1898,1;;;;;;;;30,44;37,76;10,865;179,94
Well_4;2529;816;Зона_Б;gis;1898,6;;;;;;;;22,479;36,3;11,555;180,97
Well_4;2529;816;Зона_Б;gis;1899,1;;;;;;;;16,084;37,17;11,294;166,18
Well_4;2529;816;Зона_Б;gis;1899,6;;;;;;;;13,805;36,12;10,77;172,48
Well_4;2529;816;Зона_Б;gis;1900,1;;;;;;;;13,582;41,23;12,033;174,89
Well_4;2529;816;Зона_Б;gis;1900,6;;;;;;;;21,266;40,86;11,059;173,68
Well_4;2529;816;Зона_Б;gis;1901,1;;;;;;;;21,039;42,26;11,171;162,68
Well_4;2529;816;Зона_Б;gis;1901,6;;;;;;;;34,585;40,3;11,322;173,5
Well_4;2529;816;Зона_Б;gis;1902,1;;;;;;;;20,918;35,03;11,33;185,75
Well_4;2529;816;Зона_Б;gis;1902,6;;;;;;;;25,561;38,44;10,458;178,32
Well_4;2529;816;Зона_Б;gis;1903,1;;;;;;;;20,035;40,17;11,74;173,82
Well_4;2529;816;Зона_Б;gis;1903,6;;;;;;;;28,139;35,94;11,857;187,23
Well_4;2529;816;Зона_Б;gis;1904,1;;;;;;;;21,099;39,5;10,33;168,42
Well_4;2529;816;Зона_Б;gis;1904,6;;;;;;;;39,256;37,87;11,244;177,53
Well_4;2529;816;Зона_Б;gis;1905,1;;;;;;;;16,048;39,64;10,091;183,8
Well_4;2529;816;Зона_Б;gis;1905,6;;;;;;;;17,529;41,24;11,478;170,02
Well_4;2529;816;Зона_Б;gis;1906,1;;;;;;;;22,272;34,8;;172,07
Well_4;2529;816;Зона_Б;gis;1906,6;;;;;;;;41,499;42,94;10,955;185,16
Well_4;2529;816;Зона_Б;gis;1907,1;;;;;;;;29,749;33,52;11,167;184,82
Well_4;2529;816;Зона_Б;gis;1907,6;;;;;;;;41,497;40,11;10,532;172,28
Well_4;2529;816;Зона_Б;gis;1908,1;;;;;;;;33,708;37,1;10,985;179,92
Well_4;2529;816;Зона_Б;gis;1908,6;;;;;;;;34,023;;10,852;171,14
Well_4;2529;816;Зона_Б;gis;1909,1;;;;;;;;16,972;30,2;12,112;184,16
Well_4;2529;816;Зона_Б;gis;1909,6;;;;;;;;43,364;31,74;11,646;189,79
Well_4;2529;816;Зона_Б;gis;1910,1;;;;;;;;27,787;39,22;11,296;181,3
