Well;X_m;Y_m;Zone;Type;Depth_m;Porosity;Permeability;Density;Sw;So;Lab;year;PZ;PS;GK;NGK
Well_18;6070;1582;Зона_В;core;2156.9;0.0842;0.09;2.547;0.2452;0.6518;Lab_C;2015.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2185.2;0.0808;1.52;2.576;0.228;0.6741;Lab_A;2018.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2225.8;0.0912;0.7;2.563;0.3715;0.4965;Lab_B;2005.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2243.1;0.1044;6.77;2.527;0.3959;0.4809;Lab_B;2005.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2271.9;0.0588;0.04;2.597;0.3222;0.5068;Lab_C;2008.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2311.8;0.0518;1.57;2.632;0.1118;0.8367;Lab_A;2012.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2326.5;0.0617;0.04;2.61;0.0673;0.83;Lab_A;2008.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2343.7;0.0579;0.01;2.614;0.1555;0.7606;Lab_C;2018.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2447.4;0.0738;0.63;2.586;0.4861;0.3106;Lab_B;1995.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2458.4;0.0907;4.42;2.543;0.338;0.4175;Lab_A;2012.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2587.3;0.1111;116.57;2.499;0.4881;0.3458;Lab_A;2018.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2630.4;0.0839;11.33;2.547;0.3248;0.4879;Lab_A;1995.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2652.4;0.0968;0.87;2.569;0.2924;0.6172;Lab_A;2000.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2658.3;0.0524;0.01;2.625;0.3555;0.4443;Lab_A;2008.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2669.0;0.0354;0.01;2.688;0.1023;0.7993;Lab_C;2008.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2687.4;0.0582;0.04;2.607;0.2417;0.5534;Lab_A;2005.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2741.3;0.0904;1.04;2.545;0.5011;0.3064;Lab_A;2018.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2756.1;0.0995;231.41;2.548;0.3274;0.4887;Lab_B;2005.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2792.5;0.0708;0.04;2.594;0.4566;0.3912;Lab_A;2012.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2841.7;0.0702;0.03;2.592;0.1962;0.6989;Lab_A;2018.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2938.9;0.1014;0.14;2.556;0.2;0.5308;Lab_C;2005.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2941.0;0.0997;3.99;2.518;0.3064;0.5438;Lab_A;2008.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;2978.8;0.0733;0.53;2.576;0.2618;0.587;Lab_B;2012.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;core;3011.6;0.1116;2.82;2.519;0.33;0.4349;Lab_B;2005.0;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1941.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1941.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1942.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1942.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1943.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1943.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1944.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1944.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1945.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1945.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1946.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1946.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1947.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_18;6070;1582;Зона_В;gis;1947.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
