Well;X_m;Y_m;Zone;Type;Depth_m;Porosity;Permeability;Density;Sw;So;Lab;year;PZ;PS;GK;NGK
Well_12;1838;1425;Зона_А;core;2085.2;0.0714;0.61;2.592;0.2879;0.6048;Lab_A;2005.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2093.6;0.0987;3.22;2.514;0.1385;0.5553;Lab_A;2018.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2178.7;0.1294;0.43;2.467;0.251;0.6219;Lab_C;2005.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2217.2;0.0805;0.08;2.571;0.3035;0.524;Lab_C;2012.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2238.1;0.1541;36.0;2.408;0.3576;0.4434;Lab_B;2015.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2262.3;0.1031;9.59;2.497;0.183;0.5738;Lab_B;1995.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2334.6;0.1165;4.03;2.507;0.2755;0.6751;Lab_A;2008.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2342.0;0.1184;5.68;2.548;0.3564;0.4662;Lab_C;1995.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2455.8;0.0775;0.46;2.57;0.5376;0.3167;Lab_B;2018.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2514.9;0.0902;1.25;2.581;0.1805;0.6362;Lab_C;2012.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2539.1;0.1004;61.33;2.527;0.1695;0.6099;Lab_B;2015.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2571.1;0.0994;0.97;2.546;0.1677;0.6417;Lab_C;2015.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2575.8;0.0504;0.01;2.62;0.3833;0.4609;Lab_A;2015.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2610.1;0.1039;11.2;2.533;0.3188;0.4335;Lab_B;2005.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2757.1;0.0691;0.31;2.568;0.2899;0.549;Lab_A;2000.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2808.1;0.111;0.35;2.553;0.1882;0.5293;Lab_A;2008.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2841.6;0.1038;0.12;2.504;0.2167;0.5224;Lab_A;2015.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2854.5;0.0827;0.51;2.562;0.161;0.6311;Lab_A;2015.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2885.1;0.087;27.48;2.537;0.1516;0.7474;Lab_B;2018.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2900.7;0.0694;0.21;2.609;0.4227;0.4556;Lab_A;2012.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2908.6;0.0827;0.45;2.551;0.2067;0.6071;Lab_A;2008.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2920.4;0.1042;7.38;2.501;0.2957;0.4327;Lab_B;2018.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2922.4;0.0712;0.09;2.57;0.1465;0.5332;Lab_B;2000.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2937.8;0.0651;1.8;2.581;0.3722;0.5817;Lab_A;2015.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;core;2955.5;0.0672;0.88;2.568;0.4314;0.5147;Lab_B;2015.0;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1875.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;22.794;41.44;10.321;165.43
Well_12;1838;1425;Зона_А;gis;1875.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;38.89;10.238;174.36
Well_12;1838;1425;Зона_А;gis;1876.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;53.331;49.32;10.009;165.88
Well_12;1838;1425;Зона_А;gis;1876.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;29.834;39.77;10.713;166.45
Well_12;1838;1425;Зона_А;gis;1877.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;29.679;40.76;9.844;176.83
Well_12;1838;1425;Зона_А;gis;1877.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;23.246;43.74;10.382;163.13
Well_12;1838;1425;Зона_А;gis;1878.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1878.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1879.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1879.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1880.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1880.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1881.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1881.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1882.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1882.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1883.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1883.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1884.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1884.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1885.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1885.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1886.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1886.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1887.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1887.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1888.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1888.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1889.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1889.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1890.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1890.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1891.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1891.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1892.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1892.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1893.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1893.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1894.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1894.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1895.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1895.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1896.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_12;1838;1425;Зона_А;gis;1896.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
