Well;X_m;Y_m;Zone;Type;Depth_m;Porosity;Permeability;Density;Sw;So;Lab;year;PZ;PS;GK;NGK
Well_24;3955;2103;Зона_Б;core;1900.3;0.1612;96.75;2.46;0.3396;0.4678;Lab_C;2008.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;1921.2;0.1527;11.74;2.415;0.2081;0.5168;Lab_B;2015.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;1961.9;0.1507;2000.0;2.418;0.1944;0.6699;Lab_B;1995.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2042.8;0.1347;220.37;2.444;0.3383;0.4998;Lab_A;2018.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2042.9;0.1957;36.37;2.395;0.3306;0.4852;Lab_C;2005.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2141.1;0.1126;34.02;2.464;0.2301;0.5132;Lab_B;1995.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2160.4;0.1737;332.83;2.349;0.1545;0.6563;Lab_A;1995.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2249.2;0.1524;55.2;2.406;0.4456;0.5203;Lab_A;1995.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2325.4;0.1722;467.96;2.382;0.4506;0.4437;Lab_B;2012.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2331.3;0.1829;760.85;2.323;0.1925;0.4954;Lab_B;2005.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2466.8;0.1384;107.51;2.433;0.363;0.5869;Lab_A;2012.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2476.6;0.1145;16.21;2.474;0.3644;0.5477;Lab_A;2015.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2557.2;0.125;32.81;2.493;0.3572;0.4425;Lab_A;2015.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2568.6;0.1015;7.16;2.569;0.3569;0.4756;Lab_C;2015.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2599.5;0.2032;81.96;2.379;0.2785;0.5862;Lab_C;2008.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2694.7;0.1353;45.55;2.482;0.4049;0.5535;Lab_A;2000.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2709.5;0.1459;17.65;2.392;0.2479;0.6046;Lab_A;2012.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2711.9;0.1376;2.66;2.445;0.2261;0.5433;Lab_B;2000.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2806.7;0.1133;30.91;2.477;0.2194;0.4706;Lab_A;2005.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2829.6;0.1498;18.46;2.419;0.337;0.5683;Lab_B;2018.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;core;2852.4;0.167;327.3;2.432;0.483;0.4387;Lab_C;2015.0;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1680.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;19.741;65.04;6.606;119.68
Well_24;3955;2103;Зона_Б;gis;1681.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;22.16;78.57;5.555;100.18
Well_24;3955;2103;Зона_Б;gis;1681.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;27.614;74.91;5.744;98.31
Well_24;3955;2103;Зона_Б;gis;1682.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;28.546;60.46;NaN;123.31
Well_24;3955;2103;Зона_Б;gis;1682.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;30.082;66.45;6.472;115.79
Well_24;3955;2103;Зона_Б;gis;1683.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;23.258;69.22;6.263;109.13
Well_24;3955;2103;Зона_Б;gis;1683.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;22.493;64.39;6.021;110.44
Well_24;3955;2103;Зона_Б;gis;1684.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;24.11;72.29;6.013;107.75
Well_24;3955;2103;Зона_Б;gis;1684.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;41.262;69.79;6.798;105.35
Well_24;3955;2103;Зона_Б;gis;1685.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;29.442;64.99;6.908;105.18
Well_24;3955;2103;Зона_Б;gis;1685.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;74.06;5.935;109.12
Well_24;3955;2103;Зона_Б;gis;1686.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.559;NaN;5.478;101.71
Well_24;3955;2103;Зона_Б;gis;1686.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;27.459;NaN;5.452;110.28
Well_24;3955;2103;Зона_Б;gis;1687.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;73.69;6.07;109.76
Well_24;3955;2103;Зона_Б;gis;1687.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;22.288;72.19;5.644;106.16
Well_24;3955;2103;Зона_Б;gis;1688.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;72.9;6.336;109.01
Well_24;3955;2103;Зона_Б;gis;1688.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;39.328;74.81;5.601;91.3
Well_24;3955;2103;Зона_Б;gis;1689.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;36.249;71.51;5.486;114.8
Well_24;3955;2103;Зона_Б;gis;1689.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;22.362;71.46;5.301;103.77
Well_24;3955;2103;Зона_Б;gis;1690.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;33.126;75.76;6.627;104.13
Well_24;3955;2103;Зона_Б;gis;1690.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;42.456;70.32;6.051;106.88
Well_24;3955;2103;Зона_Б;gis;1691.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;27.296;72.04;5.744;106.56
Well_24;3955;2103;Зона_Б;gis;1691.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;45.271;66.86;6.15;104.69
Well_24;3955;2103;Зона_Б;gis;1692.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;31.319;72.4;5.957;111.65
Well_24;3955;2103;Зона_Б;gis;1692.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;34.65;75.95;6.068;109.75
Well_24;3955;2103;Зона_Б;gis;1693.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;35.702;74.14;5.625;111.81
Well_24;3955;2103;Зона_Б;gis;1693.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;67.487;75.4;6.601;108.85
Well_24;3955;2103;Зона_Б;gis;1694.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;25.282;71.52;5.266;105.41
Well_24;3955;2103;Зона_Б;gis;1694.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;32.112;NaN;6.336;115.29
Well_24;3955;2103;Зона_Б;gis;1695.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;76.371;NaN;5.601;109.0
Well_24;3955;2103;Зона_Б;gis;1695.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;37.337;67.76;5.693;107.75
Well_24;3955;2103;Зона_Б;gis;1696.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;24.871;68.3;5.404;112.27
Well_24;3955;2103;Зона_Б;gis;1696.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;32.223;74.95;5.422;100.51
Well_24;3955;2103;Зона_Б;gis;1697.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;32.607;67.28;6.419;102.39
Well_24;3955;2103;Зона_Б;gis;1697.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;16.855;68.96;6.376;111.7
Well_24;3955;2103;Зона_Б;gis;1698.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1698.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1699.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1699.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1700.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1700.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1701.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1701.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1702.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1702.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1703.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1703.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1704.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1704.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Well_24;3955;2103;Зона_Б;gis;1705.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
