well_id,x,y,zone,type,depth_m,porosity,perm_md,density,sw,so,lab,year,PZ,PS,GK,NGK
Well_32,3232,2935,Зона_Б,core,1820.0,0.1787,2000.0,2.383,0.3687,0.5787,Lab_A,2005.0,,,,
Well_32,3232,2935,Зона_Б,core,1826.2,0.147,433.25,2.428,0.143,0.5963,Lab_A,2012.0,,,,
Well_32,3232,2935,Зона_Б,core,1845.2,0.1337,9.43,2.43,0.0972,0.7084,Lab_A,2012.0,,,,
Well_32,3232,2935,Зона_Б,core,1851.0,0.1698,2000.0,2.336,0.1074,0.7354,Lab_A,1995.0,,,,
Well_32,3232,2935,Зона_Б,core,1866.2,0.1918,2000.0,2.317,0.2397,0.5016,Lab_B,1995.0,,,,
Well_32,3232,2935,Зона_Б,core,1875.7,0.1758,56.01,2.372,0.2305,0.5598,Lab_B,2012.0,,,,
Well_32,3232,2935,Зона_Б,core,1895.7,0.1303,802.66,2.458,0.4632,0.5028,Lab_A,2015.0,,,,
Well_32,3232,2935,Зона_Б,core,1922.8,0.1098,4.16,2.454,0.3387,0.4768,Lab_B,2008.0,,,,
Well_32,3232,2935,Зона_Б,core,1971.6,0.1537,25.01,2.38,0.4619,0.5052,Lab_B,2018.0,,,,
Well_32,3232,2935,Зона_Б,core,2030.3,0.1758,61.69,2.341,0.1763,0.5067,Lab_B,2012.0,,,,
Well_32,3232,2935,Зона_Б,core,2085.4,0.1613,241.9,2.356,0.2929,0.641,Lab_B,2005.0,,,,
Well_32,3232,2935,Зона_Б,core,2180.3,0.1777,620.71,2.344,0.4444,0.4311,Lab_A,2005.0,,,,
Well_32,3232,2935,Зона_Б,core,2235.3,0.2082,2000.0,2.273,0.443,0.4762,Lab_B,1995.0,,,,
Well_32,3232,2935,Зона_Б,core,2243.1,0.1859,2000.0,2.352,0.1391,0.582,Lab_B,2008.0,,,,
Well_32,3232,2935,Зона_Б,core,2291.6,0.1807,300.21,2.386,0.2197,0.725,Lab_A,2008.0,,,,
Well_32,3232,2935,Зона_Б,core,2426.1,0.1543,345.9,2.401,0.2235,0.613,Lab_B,2015.0,,,,
Well_32,3232,2935,Зона_Б,core,2519.7,0.2059,208.8,2.415,0.1629,0.7455,Lab_C,2018.0,,,,
Well_32,3232,2935,Зона_Б,core,2539.7,0.1253,3.76,2.427,0.4103,0.4216,Lab_B,2018.0,,,,
Well_32,3232,2935,Зона_Б,core,2549.1,0.1852,2000.0,2.348,0.1314,0.7994,Lab_A,2018.0,,,,
Well_32,3232,2935,Зона_Б,core,2587.7,0.1241,369.26,2.428,0.1827,0.7611,Lab_B,1995.0,,,,
Well_32,3232,2935,Зона_Б,core,2625.1,0.1787,52.06,2.42,0.4552,0.393,Lab_C,2005.0,,,,
Well_32,3232,2935,Зона_Б,core,2675.6,0.1151,25.7,2.478,0.3366,0.4862,Lab_A,2005.0,,,,
Well_32,3232,2935,Зона_Б,core,2685.3,0.1841,12.5,2.368,0.318,0.6119,Lab_C,2008.0,,,,
Well_32,3232,2935,Зона_Б,core,2688.5,0.156,4.79,2.456,0.3353,0.4765,Lab_C,2012.0,,,,
Well_32,3232,2935,Зона_Б,core,2707.2,0.1526,107.45,2.415,0.4547,0.4989,Lab_B,2012.0,,,,
Well_32,3232,2935,Зона_Б,core,2795.8,0.1674,104.37,2.37,0.2248,0.4905,Lab_B,2012.0,,,,
Well_32,3232,2935,Зона_Б,core,2815.7,0.1708,211.42,2.423,0.0904,0.7516,Lab_C,2000.0,,,,
Well_32,3232,2935,Зона_Б,gis,1606.7,,,,,,,,50.251,77.06,3.848,103.6
Well_32,3232,2935,Зона_Б,gis,1607.2,,,,,,,,58.477,72.62,5.337,108.32
Well_32,3232,2935,Зона_Б,gis,1607.7,,,,,,,,39.985,74.73,5.035,104.23
Well_32,3232,2935,Зона_Б,gis,1608.2,,,,,,,,36.927,77.34,4.949,96.03
Well_32,3232,2935,Зона_Б,gis,1608.7,,,,,,,,19.553,76.73,4.393,103.36
Well_32,3232,2935,Зона_Б,gis,1609.2,,,,,,,,20.893,72.91,4.956,101.4
Well_32,3232,2935,Зона_Б,gis,1609.7,,,,,,,,26.083,69.95,5.327,107.79
Well_32,3232,2935,Зона_Б,gis,1610.2,,,,,,,,36.212,78.35,5.63,99.21
Well_32,3232,2935,Зона_Б,gis,1610.7,,,,,,,,27.253,78.79,4.097,98.3
Well_32,3232,2935,Зона_Б,gis,1611.2,,,,,,,,54.922,,4.369,94.4
Well_32,3232,2935,Зона_Б,gis,1611.7,,,,,,,,34.763,72.06,5.558,105.44
Well_32,3232,2935,Зона_Б,gis,1612.2,,,,,,,,31.648,66.51,5.178,107.69
Well_32,3232,2935,Зона_Б,gis,1612.7,,,,,,,,27.975,67.7,6.078,103.61
Well_32,3232,2935,Зона_Б,gis,1613.2,,,,,,,,35.737,74.44,5.587,102.14
Well_32,3232,2935,Зона_Б,gis,1613.7,,,,,,,,20.526,64.73,5.605,103.3
Well_32,3232,2935,Зона_Б,gis,1614.2,,,,,,,,19.598,76.59,5.558,94.56
Well_32,3232,2935,Зона_Б,gis,1614.7,,,,,,,,,70.47,6.255,106.01
Well_32,3232,2935,Зона_Б,gis,1615.2,,,,,,,,16.739,62.94,5.964,109.76
Well_32,3232,2935,Зона_Б,gis,1615.7,,,,,,,,27.476,72.89,6.307,96.54
Well_32,3232,2935,Зона_Б,gis,1616.2,,,,,,,,22.18,,5.483,104.9
Well_32,3232,2935,Зона_Б,gis,1616.7,,,,,,,,23.305,69.22,6.63,99.71
Well_32,3232,2935,Зона_Б,gis,1617.2,,,,,,,,26.326,67.52,6.21,98.09
