Скважина;X;Y;Зона;Тип;Глубина;Пористость;Проницаемость;Плотность;Кв;Кн;Лаборатория;Год;PZ;PS;GK;NGK
Well_3;1877;777;Зона_А;core;2237,2;0,1106;16,13;2,533;0,2807;0,5614;Lab_B;1995,0;;;;
Well_3;1877;777;Зона_А;core;2248,2;0,1228;74,79;2,492;0,4044;0,4515;Lab_A;2012,0;;;;
Well_3;1877;777;Зона_А;core;2283,2;0,097;0,12;2,565;0,3686;0,4365;Lab_C;2008,0;;;;
Well_3;1877;777;Зона_А;core;2290,8;0,0965;11,96;2,553;0,2996;0,6085;Lab_C;2018,0;;;;
Well_3;1877;777;Зона_А;core;2316,9;0,1562;253,98;2,473;0,1507;0,6525;Lab_C;2018,0;;;;
Well_3;1877;777;Зона_А;core;2366,4;0,0345;0,02;2,664;0,3161;0,4412;Lab_A;2015,0;;;;
Well_3;1877;777;Зона_А;core;2416,1;0,0728;0,05;2,625;0,19;0,4904;Lab_C;2005,0;;;;
Well_3;1877;777;Зона_А;core;2438,9;0,1131;3,47;2,501;0,3616;0,3864;Lab_A;2005,0;;;;
Well_3;1877;777;Зона_А;core;2485,8;0,0401;0,01;2,635;0,4221;0,5111;Lab_A;2000,0;;;;
Well_3;1877;777;Зона_А;core;2567,8;0,0509;0,13;2,655;0,2413;0,7156;Lab_A;2012,0;;;;
Well_3;1877;777;Зона_А;core;2584,4;0,1171;2,23;2,539;0,4558;0,5058;Lab_C;1995,0;;;;
Well_3;1877;777;Зона_А;core;2613,9;0,0591;0,49;2,603;0,1178;0,5949;Lab_A;2018,0;;;;
Well_3;1877;777;Зона_А;core;2627,5;0,1314;16,85;2,518;0,3253;0,4976;Lab_C;2012,0;;;;
Well_3;1877;777;Зона_А;core;2640,0;0,08;0,11;2,568;0,4751;0,4665;Lab_A;2012,0;;;;
Well_3;1877;777;Зона_А;core;2700,2;0,0362;0,01;2,65;0,2316;0,6825;Lab_B;2000,0;;;;
Well_3;1877;777;Зона_А;core;2763,4;0,0518;0,02;2,592;0,4889;0,3754;Lab_C;2000,0;;;;
Well_3;1877;777;Зона_А;core;2812,8;0,0612;0,02;2,618;0,1712;0,5712;Lab_B;2008,0;;;;
Well_3;1877;777;Зона_А;core;2842,8;0,0784;5,22;2,542;0,2926;0,6209;Lab_B;1995,0;;;;
Well_3;1877;777;Зона_А;core;2858,3;0,0334;0,01;2,63;0,4706;0,3869;Lab_A;2018,0;;;;
Well_3;1877;777;Зона_А;core;2929,5;0,0466;0,01;2,634;0,2389;0,6091;Lab_B;1995,0;;;;
Well_3;1877;777;Зона_А;core;2974,4;0,0296;0,01;2,635;0,1864;0,6677;Lab_B;2000,0;;;;
Well_3;1877;777;Зона_А;core;3015,1;0,0803;12,77;2,576;0,2514;0,5301;Lab_A;2015,0;;;;
Well_3;1877;777;Зона_А;core;3027,7;0,0576;0,01;2,572;0,4733;0,4726;Lab_A;2015,0;;;;
Well_3;1877;777;Зона_А;core;3099,4;0,0799;0,39;2,581;0,2207;0,4844;Lab_B;2018,0;;;;
Well_3;1877;777;Зона_А;core;3149,4;0,098;2,43;2,531;0,352;0,4701;Lab_A;2015,0;;;;
Well_3;1877;777;Зона_А;core;3194,2;0,0769;0,05;2,557;0,2859;0,6122;Lab_C;2018,0;;;;
Well_3;1877;777;Зона_А;gis;1925,7;;;;;;;;44,798;39,85;11,752;179,51
Well_3;1877;777;Зона_А;gis;1926,2;;;;;;;;15,206;35,7;12,223;191,12
