well_id,x,y,zone,type,depth_m,porosity,perm_md,density,sw,so,lab,year,PZ,PS,GK,NGK
Well_30,1957,2940,Зона_А,core,1974.9,0.1124,578.65,2.495,0.3709,0.5715,Lab_B,2015.0,,,,
Well_30,1957,2940,Зона_А,core,1991.2,0.1046,3.22,2.502,0.2032,0.5838,Lab_C,2012.0,,,,
Well_30,1957,2940,Зона_А,core,2049.8,0.1137,3.28,2.47,0.4969,0.3335,Lab_B,2015.0,,,,
Well_30,1957,2940,Зона_А,core,2072.5,0.1801,1672.78,2.313,0.4446,0.486,Lab_B,2000.0,,,,
Well_30,1957,2940,Зона_А,core,2087.1,0.1021,5.49,2.475,0.1887,0.5296,Lab_B,2008.0,,,,
Well_30,1957,2940,Зона_А,core,2203.9,0.117,30.94,2.495,0.2985,0.5238,Lab_B,2018.0,,,,
Well_30,1957,2940,Зона_А,core,2243.8,0.0852,0.08,2.537,0.1427,0.6938,Lab_A,2015.0,,,,
Well_30,1957,2940,Зона_А,core,2278.3,0.1336,206.57,2.462,0.3974,0.5637,Lab_B,2018.0,,,,
Well_30,1957,2940,Зона_А,core,2291.0,0.1122,5.57,2.481,0.2648,0.5152,Lab_A,2018.0,,,,
Well_30,1957,2940,Зона_А,core,2422.8,0.1173,297.65,2.505,0.2629,0.6069,Lab_B,2015.0,,,,
Well_30,1957,2940,Зона_А,core,2456.2,0.1635,195.53,2.413,0.2818,0.6308,Lab_C,2015.0,,,,
Well_30,1957,2940,Зона_А,core,2465.4,0.1292,11.67,2.489,0.2414,0.6001,Lab_B,2012.0,,,,
Well_30,1957,2940,Зона_А,core,2467.4,0.1784,1018.99,2.382,0.431,0.436,Lab_B,2015.0,,,,
Well_30,1957,2940,Зона_А,core,2506.0,0.0962,1.29,2.538,0.4892,0.4767,Lab_A,2018.0,,,,
Well_30,1957,2940,Зона_А,core,2532.9,0.1332,298.95,2.436,0.2928,0.6073,Lab_A,2012.0,,,,
Well_30,1957,2940,Зона_А,core,2555.4,0.1148,117.47,2.479,0.2826,0.6344,Lab_A,2005.0,,,,
Well_30,1957,2940,Зона_А,core,2595.5,0.1291,28.33,2.469,0.1974,0.6233,Lab_C,2000.0,,,,
Well_30,1957,2940,Зона_А,core,2596.5,0.1042,51.55,2.49,0.148,0.6373,Lab_B,2018.0,,,,
Well_30,1957,2940,Зона_А,core,2635.6,0.0742,0.23,2.548,0.3266,0.6276,Lab_B,2015.0,,,,
Well_30,1957,2940,Зона_А,core,2644.7,0.1335,71.15,2.473,0.319,0.4607,Lab_B,2005.0,,,,
Well_30,1957,2940,Зона_А,core,2660.2,0.1432,39.15,2.492,0.3162,0.6342,Lab_C,2012.0,,,,
Well_30,1957,2940,Зона_А,core,2706.6,0.1653,129.82,2.443,0.2813,0.4932,Lab_A,2015.0,,,,
Well_30,1957,2940,Зона_А,core,2758.8,0.0898,5.49,2.49,0.306,0.5563,Lab_B,1995.0,,,,
Well_30,1957,2940,Зона_А,core,2780.7,0.1054,0.28,2.499,0.2039,0.5639,Lab_A,2015.0,,,,
Well_30,1957,2940,Зона_А,core,2788.8,0.0701,0.3,2.585,0.2168,0.6801,Lab_A,2000.0,,,,
Well_30,1957,2940,Зона_А,core,2800.2,0.1317,1104.65,2.447,0.2469,0.5171,Lab_A,2000.0,,,,
Well_30,1957,2940,Зона_А,core,2815.3,0.1067,13.87,2.518,0.3227,0.5951,Lab_A,2018.0,,,,
Well_30,1957,2940,Зона_А,gis,1764.5,,,,,,,,25.274,52.99,7.545,129.43
