Скважина;X;Y;Зона;Тип;Глубина;Пористость;Проницаемость;Плотность;Кв;Кн;Лаборатория;Год;PZ;PS;GK;NGK
Well_8;5327;707;Зона_В;core;2160,7;0,0649;0,14;2,605;0,3183;0,4287;Lab_C;1995,0;;;;
Well_8;5327;707;Зона_В;core;2189,9;0,074;1,15;2,574;0,1605;0,7517;Lab_A;2012,0;;;;
Well_8;5327;707;Зона_В;core;2210,8;0,0859;0,47;2,552;0,1466;0,7685;Lab_A;1995,0;;;;
Well_8;5327;707;Зона_В;core;2299,4;0,1061;1,17;2,521;0,206;0,6958;Lab_A;2015,0;;;;
Well_8;5327;707;Зона_В;core;2303,6;0,0756;0,03;2,573;0,1041;0,5514;Lab_C;1995,0;;;;
Well_8;5327;707;Зона_В;core;2424,1;0,106;24,62;2,52;0,2674;0,6065;Lab_A;1995,0;;;;
Well_8;5327;707;Зона_В;core;2427,5;0,0615;1,82;2,604;0,1345;0,6822;Lab_A;2008,0;;;;
Well_8;5327;707;Зона_В;core;2440,7;0,1725;65,79;2,456;0,3434;0,511;Lab_C;2018,0;;;;
Well_8;5327;707;Зона_В;core;2451,7;0,035;0,01;2,632;0,2876;0,5292;Lab_A;2000,0;;;;
Well_8;5327;707;Зона_В;core;2518,2;0,1256;13,62;2,54;0,3005;0,4491;Lab_C;2005,0;;;;
Well_8;5327;707;Зона_В;core;2519,6;0,0521;0,01;2,617;0,2212;0,6985;Lab_C;2012,0;;;;
Well_8;5327;707;Зона_В;core;2563,6;0,0642;0,04;2,627;0,1935;0,7285;Lab_C;2000,0;;;;
Well_8;5327;707;Зона_В;core;2594,5;0,0713;0,84;2,601;0,1025;0,5675;Lab_C;1995,0;;;;
Well_8;5327;707;Зона_В;core;2607,4;0,0636;0,01;2,595;0,3167;0,5955;Lab_B;2018,0;;;;
Well_8;5327;707;Зона_В;core;2646,7;0,0898;0,87;2,564;0,1891;0,6379;Lab_C;2005,0;;;;
Well_8;5327;707;Зона_В;core;2661,9;0,151;28,32;2,48;0,2013;0,7173;Lab_C;2012,0;;;;
Well_8;5327;707;Зона_В;core;2701,5;0,0644;0,03;2,585;0,394;0,5111;Lab_A;2018,0;;;;
Well_8;5327;707;Зона_В;core;2753,6;0,0734;14,37;2,559;0,4331;0,4856;Lab_A;2000,0;;;;
Well_8;5327;707;Зона_В;core;2770,0;0,0973;27,08;2,518;0,2089;0,517;Lab_B;2005,0;;;;
Well_8;5327;707;Зона_В;core;2786,5;0,117;5,51;2,498;0,2392;0,5676;Lab_A;2015,0;;;;
Well_8;5327;707;Зона_В;core;2881,2;0,0476;0,01;2,625;0,3445;0,4053;Lab_B;2018,0;;;;
Well_8;5327;707;Зона_В;core;2886,9;0,0483;0,09;2,653;0,1369;0,6474;Lab_B;1995,0;;;;
Well_8;5327;707;Зона_В;core;2896,9;0,0534;0,22;2,588;0,4715;0,4954;Lab_B;2015,0;;;;
Well_8;5327;707;Зона_В;core;2912,1;0,048;0,01;2,61;0,1897;0,6983;Lab_B;2012,0;;;;
Well_8;5327;707;Зона_В;core;3078,3;0,0864;9,4;2,604;0,3154;0,4829;Lab_C;2012,0;;;;
Well_8;5327;707;Зона_В;gis;1940,8;;;;;;;;38,096;34,42;11,778;183,55
Well_8;5327;707;Зона_В;gis;1941,3;;;;;;;;29,475;35,74;12,253;196,85
Well_8;5327;707;Зона_В;gis;1941,8;;;;;;;;25,841;34,06;11,43;176,93
Well_8;5327;707;Зона_В;gis;1942,3;;;;;;;;42,732;24,95;11,861;191,42
Well_8;5327;707;Зона_В;gis;1942,8;;;;;;;;35,444;34,8;13,057;192,66
Well_8;5327;707;Зона_В;gis;1943,3;;;;;;;;18,815;30,22;12,978;199,13
Well_8;5327;707;Зона_В;gis;1943,8;;;;;;;;21,549;24,89;12,34;197,52
Well_8;5327;707;Зона_В;gis;1944,3;;;;;;;;33,741;29,88;12,998;191,02
Well_8;5327;707;Зона_В;gis;1944,8;;;;;;;;42,205;30,05;12,235;183,93
Well_8;5327;707;Зона_В;gis;1945,3;;;;;;;;27,952;28,24;12,113;198,77
Well_8;5327;707;Зона_В;gis;1945,8;;;;;;;;26,22;29,02;;195,12
Well_8;5327;707;Зона_В;gis;1946,3;;;;;;;;24,858;38,48;11,296;183,25
Well_8;5327;707;Зона_В;gis;1946,8;;;;;;;;32,552;33,0;11,614;181,77
Well_8;5327;707;Зона_В;gis;1947,3;;;;;;;;16,472;29,49;12,607;196,18
Well_8;5327;707;Зона_В;gis;1947,8;;;;;;;;38,889;36,67;;190,24
Well_8;5327;707;Зона_В;gis;1948,3;;;;;;;;28,508;29,44;11,882;183,82
Well_8;5327;707;Зона_В;gis;1948,8;;;;;;;;19,122;30,8;11,691;191,13
Well_8;5327;707;Зона_В;gis;1949,3;;;;;;;;34,154;23,22;12,442;200,77
Well_8;5327;707;Зона_В;gis;1949,8;;;;;;;;21,795;31,23;12,079;195,25
Well_8;5327;707;Зона_В;gis;1950,3;;;;;;;;40,638;32,03;;190,26
Well_8;5327;707;Зона_В;gis;1950,8;;;;;;;;22,59;26,79;12,182;194,09
Well_8;5327;707;Зона_В;gis;1951,3;;;;;;;;34,539;27,72;13,168;211,39
Well_8;5327;707;Зона_В;gis;1951,8;;;;;;;;35,741;25,91;12,96;196,5
Well_8;5327;707;Зона_В;gis;1952,3;;;;;;;;42,101;33,93;11,895;192,43
Well_8;5327;707;Зона_В;gis;1952,8;;;;;;;;24,504;34,2;12,778;188,02
Well_8;5327;707;Зона_В;gis;1953,3;;;;;;;;25,014;24,66;13,05;203,44
Well_8;5327;707;Зона_В;gis;1953,8;;;;;;;;32,178;31,12;12,574;203,78
