well_id,x,y,zone,type,depth_m,porosity,perm_md,density,sw,so,lab,year,PZ,PS,GK,NGK
Well_31,2514,2935,Зона_Б,core,1895.0,0.1099,8.18,2.485,0.1075,0.7605,Lab_A,1995.0,,,,
Well_31,2514,2935,Зона_Б,core,2013.5,0.14,231.28,2.437,0.2243,0.5936,Lab_A,2015.0,,,,
Well_31,2514,2935,Зона_Б,core,2024.6,0.1448,144.22,2.392,0.1893,0.5184,Lab_B,2005.0,,,,
Well_31,2514,2935,Зона_Б,core,2033.9,0.1546,10.26,2.364,0.3435,0.397,Lab_B,2015.0,,,,
Well_31,2514,2935,Зона_Б,core,2100.1,0.1294,647.61,2.452,0.2799,0.5845,Lab_A,2012.0,,,,
Well_31,2514,2935,Зона_Б,core,2193.1,0.1557,30.31,2.406,0.1227,0.6604,Lab_B,2008.0,,,,
Well_31,2514,2935,Зона_Б,core,2199.0,0.1207,0.83,2.483,0.2185,0.653,Lab_B,2005.0,,,,
Well_31,2514,2935,Зона_Б,core,2199.7,0.1592,1780.25,2.384,0.1286,0.7958,Lab_B,2015.0,,,,
Well_31,2514,2935,Зона_Б,core,2216.4,0.1599,257.26,2.396,0.1677,0.7793,Lab_A,2018.0,,,,
Well_31,2514,2935,Зона_Б,core,2233.3,0.1057,1.2,2.507,0.1405,0.6108,Lab_B,2005.0,,,,
Well_31,2514,2935,Зона_Б,core,2381.6,0.1665,1434.82,2.355,0.1642,0.6056,Lab_A,2000.0,,,,
Well_31,2514,2935,Зона_Б,core,2389.8,0.1319,5.57,2.423,0.3841,0.4372,Lab_B,1995.0,,,,
Well_31,2514,2935,Зона_Б,core,2392.8,0.1379,78.51,2.473,0.2617,0.5811,Lab_C,2005.0,,,,
Well_31,2514,2935,Зона_Б,core,2444.6,0.159,144.03,2.354,0.2806,0.6008,Lab_A,2015.0,,,,
Well_31,2514,2935,Зона_Б,core,2521.4,0.1329,96.1,2.433,0.215,0.4724,Lab_B,2018.0,,,,
Well_31,2514,2935,Зона_Б,core,2556.6,0.1255,105.96,2.456,0.2745,0.4818,Lab_B,2005.0,,,,
Well_31,2514,2935,Зона_Б,core,2644.8,0.1243,13.95,2.468,0.3585,0.6086,Lab_B,2000.0,,,,
Well_31,2514,2935,Зона_Б,core,2668.8,0.161,319.98,2.456,0.2549,0.5242,Lab_C,2015.0,,,,
Well_31,2514,2935,Зона_Б,core,2763.6,0.1637,31.16,2.459,0.3533,0.5642,Lab_C,2005.0,,,,
Well_31,2514,2935,Зона_Б,core,2765.6,0.1236,2.71,2.514,0.2816,0.6497,Lab_C,2012.0,,,,
Well_31,2514,2935,Зона_Б,core,2837.6,0.0715,0.04,2.546,0.3425,0.4592,Lab_A,2018.0,,,,
Well_31,2514,2935,Зона_Б,core,2872.8,0.1209,0.33,2.517,0.3116,0.4221,Lab_C,2015.0,,,,
Well_31,2514,2935,Зона_Б,core,2908.8,0.1416,129.19,2.406,0.2306,0.5061,Lab_A,2015.0,,,,
Well_31,2514,2935,Зона_Б,core,2912.2,0.1254,18.34,2.472,0.1875,0.6106,Lab_C,2018.0,,,,
Well_31,2514,2935,Зона_Б,core,2913.4,0.0947,3.95,2.51,0.2829,0.4963,Lab_B,2005.0,,,,
Well_31,2514,2935,Зона_Б,core,2928.8,0.1552,296.24,2.411,0.3956,0.4631,Lab_A,2005.0,,,,
Well_31,2514,2935,Зона_Б,core,2964.5,0.1207,90.33,2.427,0.309,0.5304,Lab_B,2008.0,,,,
