Well;X_m;Y_m;Zone;Type;Depth_m;Porosity;Permeability;Density;Sw;So;Lab;year;PZ;PS;GK;NGK
Well_19;440;2292;Зона_А;core;2195.4;0.032;0.01;2.708;0.1422;0.7959;Lab_B;2005.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2211.0;0.013;0.01;2.668;0.3262;0.6067;Lab_B;2000.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2240.2;0.1132;32.68;2.51;0.1336;0.6329;Lab_B;2005.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2303.1;0.0988;39.64;2.503;0.2063;0.4878;Lab_B;1995.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2324.2;0.0321;0.01;2.628;0.4393;0.5166;Lab_A;1995.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2476.8;0.0609;1.83;2.608;0.2841;0.5173;Lab_A;1995.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2478.1;0.0542;0.05;2.634;0.4199;0.4974;Lab_B;2018.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2487.6;0.0378;0.01;2.653;0.4362;0.4877;Lab_A;2018.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2517.0;0.0928;2.37;2.537;0.3092;0.5714;Lab_A;2018.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2520.2;0.0818;0.73;2.548;0.2709;0.5495;Lab_A;2000.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2536.5;0.0974;0.16;2.544;0.2833;0.4967;Lab_C;2018.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2660.9;0.0654;0.04;2.585;0.2848;0.4822;Lab_C;1995.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2770.6;0.0538;0.01;2.646;0.3211;0.593;Lab_C;2018.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2775.8;0.0901;3.37;2.509;0.199;0.642;Lab_B;2000.0;NaN;NaN;NaN;NaN
Well_19;440;2292;Зона_А;core;2861.9;0.072;1.15;2.584;0.2423;0.6123;Lab_B;2005.0;NaN;NaN;NaN;NaN
