Скважина;X;Y;Зона;Тип;Глубина;Пористость;Проницаемость;Плотность;Кв;Кн;Лаборатория;Год;PZ;PS;GK;NGK
Well_2;1126;884;Зона_А;core;2248,3;0,086;0,04;2,572;0,1843;0,5683;Lab_C;2008,0;;;;
Well_2;1126;884;Зона_А;core;2250,3;0,0847;1,1;2,539;0,2111;0,7468;Lab_B;2012,0;;;;
Well_2;1126;884;Зона_А;core;2287,6;0,0993;8,04;2,565;0,4292;0,5185;Lab_B;2015,0;;;;
Well_2;1126;884;Зона_А;core;2387,2;0,0692;0,06;2,581;0,3717;0,4835;Lab_A;2015,0;;;;
Well_2;1126;884;Зона_А;core;2414,0;0,0387;0,01;2,638;0,2116;0,5918;Lab_B;2000,0;;;;
Well_2;1126;884;Зона_А;core;2427,9;0,0425;0,01;2,683;0,32;0,4931;Lab_A;2008,0;;;;
Well_2;1126;884;Зона_А;core;2458,5;0,075;0,18;2,606;0,1417;0,7967;Lab_C;2015,0;;;;
Well_2;1126;884;Зона_А;core;2484,0;0,0733;0,18;2,596;0,4724;0,3747;Lab_B;2000,0;;;;
Well_2;1126;884;Зона_А;core;2488,6;0,0585;0,01;2,583;0,3267;0,6388;Lab_A;2018,0;;;;
Well_2;1126;884;Зона_А;core;2519,0;0,0384;0,01;2,671;0,3056;0,5352;Lab_B;2012,0;;;;
Well_2;1126;884;Зона_А;core;2598,9;0,0617;1,52;2,603;0,5279;0,3973;Lab_B;2012,0;;;;
Well_2;1126;884;Зона_А;core;2654,6;0,0718;0,92;2,577;0,2182;0,502;Lab_A;2015,0;;;;
Well_2;1126;884;Зона_А;core;2665,0;0,1082;93,52;2,513;0,3024;0,6488;Lab_A;2012,0;;;;
Well_2;1126;884;Зона_А;core;2787,0;0,0453;0,01;2,667;0,2261;0,5518;Lab_A;2005,0;;;;
Well_2;1126;884;Зона_А;core;2806,2;0,0317;0,01;2,644;0,261;0,6052;Lab_A;2000,0;;;;
Well_2;1126;884;Зона_А;core;2903,8;0,0805;4,88;2,577;0,2049;0,5714;Lab_B;2012,0;;;;
Well_2;1126;884;Зона_А;core;3068,2;0,0613;0,01;2,597;0,0718;0,6566;Lab_B;2012,0;;;;
