WELL_ID,X_M,Y_M,ZONE,DATA_TYPE,DEPTH_M,POROSITY,PERMEABILITY_MD,DENSITY_GCC,WATER_SATURATION,OIL_SATURATION,LAB_ID,YEAR,PZ,PS,GK,NGK
Well_45,6103,3608,Зона_В,core,790.8,0.2663,2000.0,2.256,0.2698,0.6422,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,792.6,0.2773,2000.0,2.201,0.2296,0.5044,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,820.5,0.2346,2000.0,2.267,0.3292,0.4507,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,834.0,0.2412,2000.0,2.282,0.2674,0.6655,Lab_A,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,843.4,0.253,443.64,2.202,0.2831,0.6095,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,871.5,0.2894,2000.0,2.172,0.1755,0.6253,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,876.0,0.237,2000.0,2.293,0.4207,0.4698,Lab_A,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,889.9,0.2047,2000.0,2.342,0.4083,0.53,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,921.1,0.2152,2000.0,2.344,0.4711,0.4515,Lab_A,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,952.8,0.2452,2000.0,2.259,0.3867,0.4911,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,953.3,0.2115,1443.23,2.358,0.403,0.3674,Lab_A,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,953.4,0.221,2000.0,2.322,0.4625,0.4167,Lab_A,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,963.4,0.1979,37.01,2.355,0.2675,0.6862,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,967.2,0.216,2000.0,2.328,0.473,0.431,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,972.4,0.2252,2000.0,2.29,0.3574,0.529,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1054.3,0.1017,3.13,2.49,0.6374,0.2225,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1062.3,0.1248,154.73,2.519,0.6375,0.3136,Lab_A,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1062.8,0.1278,73.2,2.492,0.6667,0.2845,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1072.4,0.1553,2000.0,2.412,0.6533,0.2549,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1085.9,0.1401,56.52,2.438,0.5889,0.3748,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1110.7,0.1212,132.74,2.488,0.6611,0.2294,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1156.7,0.1445,2000.0,2.456,0.5434,0.3513,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1224.0,0.097,61.45,2.504,0.758,0.1514,Lab_A,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1227.3,0.1094,5.12,2.489,0.7987,0.1868,Lab_A,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1289.0,0.1411,12.36,2.444,0.6432,0.2573,Lab_A,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1335.4,0.1215,10.1,2.485,0.5621,0.3865,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1360.5,0.0844,2.71,2.561,0.6451,0.3333,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1400.6,0.1387,27.45,2.478,0.5658,0.292,Lab_A,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1414.4,0.134,15.26,2.46,0.5911,0.3628,Lab_B,2018.0,nan,nan,nan,nan
Well_45,6103,3608,Зона_В,core,1481.3,0.0897,0.32,2.555,0.6081,0.3712,Lab_A,2018.0,nan,nan,nan,nan
