Скважина;X;Y;Зона;Тип;Глубина;Пористость;Проницаемость;Плотность;Кв;Кн;Лаборатория;Год;PZ;PS;GK;NGK
Well_9;6096;835;Зона_В;core;2176,5;0,0667;0,07;2,63;0,1428;0,5643;Lab_C;2015,0;;;;
Well_9;6096;835;Зона_В;core;2214,6;0,0902;417,34;2,532;0,2329;0,7254;Lab_B;2008,0;;;;
Well_9;6096;835;Зона_В;core;2227,7;0,0379;0,01;2,629;0,378;0,5426;Lab_C;1995,0;;;;
Well_9;6096;835;Зона_В;core;2300,2;0,0835;0,01;2,564;0,4653;0,4661;Lab_C;2000,0;;;;
Well_9;6096;835;Зона_В;core;2335,0;0,0762;2,47;2,547;0,3765;0,5239;Lab_B;2015,0;;;;
Well_9;6096;835;Зона_В;core;2344,1;0,0328;0,01;2,666;0,3077;0,5976;Lab_B;2012,0;;;;
Well_9;6096;835;Зона_В;core;2394,3;0,0591;0,48;2,603;0,333;0,5379;Lab_A;2005,0;;;;
Well_9;6096;835;Зона_В;core;2419,8;0,0751;0,25;2,614;0,2074;0,6173;Lab_A;2015,0;;;;
Well_9;6096;835;Зона_В;core;2818,0;0,0695;0,08;2,599;0,1635;0,5122;Lab_A;2005,0;;;;
Well_9;6096;835;Зона_В;core;2818,9;0,0435;0,01;2,608;0,1263;0,6515;Lab_C;2015,0;;;;
Well_9;6096;835;Зона_В;core;2828,0;0,086;0,22;2,602;0,4749;0,3442;Lab_C;2005,0;;;;
Well_9;6096;835;Зона_В;core;2842,0;0,0582;0,03;2,58;0,4405;0,5221;Lab_B;2018,0;;;;
Well_9;6096;835;Зона_В;core;2882,4;0,0725;0,1;2,606;0,1194;0,5417;Lab_B;2012,0;;;;
Well_9;6096;835;Зона_В;core;2909,9;0,0974;1,17;2,542;0,2377;0,4987;Lab_C;2008,0;;;;
Well_9;6096;835;Зона_В;core;2912,8;0,0536;0,01;2,618;0,2885;0,4891;Lab_B;2018,0;;;;
Well_9;6096;835;Зона_В;core;2926,1;0,1067;0,62;2,529;0,3452;0,6163;Lab_B;2018,0;;;;
Well_9;6096;835;Зона_В;core;2976,4;0,0929;0,35;2,56;0,1603;0,6734;Lab_B;2012,0;;;;
Well_9;6096;835;Зона_В;core;3010,8;0,005;0,01;2,7;0,4264;0,4484;Lab_A;2005,0;;;;
Well_9;6096;835;Зона_В;core;3181,0;0,0744;1,4;2,608;0,2531;0,5963;Lab_B;2018,0;;;;
Well_9;6096;835;Зона_В;core;3194,1;0,0063;0,01;2,661;0,1649;0,7895;Lab_B;2008,0;;;;
Well_9;6096;835;Зона_В;core;3217,5;0,0435;0,03;2,659;0,2682;0,5753;Lab_B;2018,0;;;;
Well_9;6096;835;Зона_В;gis;1968,4;;;;;;;;20,16;34,68;12,789;204,22
Well_9;6096;835;Зона_В;gis;1968,9;;;;;;;;59,122;26,96;;
Well_9;6096;835;Зона_В;gis;1969,4;;;;;;;;44,977;26,06;12,159;209,27
Well_9;6096;835;Зона_В;gis;1969,9;;;;;;;;21,15;20,94;13,156;197,93
Well_9;6096;835;Зона_В;gis;1970,4;;;;;;;;44,155;31,1;12,541;206,71
