well_id,x,y,zone,type,depth_m,porosity,perm_md,density,sw,so,lab,year,PZ,PS,GK,NGK
Well_28,422,2879,Зона_А,core,2154.7,0.1298,43.9,2.53,0.1904,0.7298,Lab_C,1995.0,,,,
Well_28,422,2879,Зона_А,core,2161.8,0.0866,1.23,2.575,0.293,0.5613,Lab_B,2018.0,,,,
Well_28,422,2879,Зона_А,core,2212.1,0.0634,0.41,2.621,0.3784,0.4419,Lab_A,2005.0,,,,
Well_28,422,2879,Зона_А,core,2229.6,0.0936,4.79,2.52,0.3163,0.5478,Lab_A,2018.0,,,,
Well_28,422,2879,Зона_А,core,2247.1,0.0312,0.01,256.78,0.2507,0.4547,Lab_C,2015.0,,,,
Well_28,422,2879,Зона_А,core,2273.6,0.0744,0.72,2.568,0.1196,0.5552,Lab_A,2018.0,,,,
Well_28,422,2879,Зона_А,core,2296.7,0.0873,3.05,2.567,0.2649,0.4895,Lab_B,2012.0,,,,
Well_28,422,2879,Зона_А,core,2308.9,0.0841,0.01,2.598,0.2807,0.5824,Lab_C,2018.0,,,,
Well_28,422,2879,Зона_А,core,2323.3,0.0878,26.39,2.55,0.2837,0.5316,Lab_A,1995.0,,,,
Well_28,422,2879,Зона_А,core,2344.9,0.0851,0.07,2.541,0.1432,0.7763,Lab_B,2000.0,,,,
Well_28,422,2879,Зона_А,core,2353.9,0.0729,0.06,2.603,0.6705,0.3125,Lab_B,2018.0,,,,
Well_28,422,2879,Зона_А,core,2362.2,0.0759,1.17,2.574,0.1528,0.741,Lab_A,2012.0,,,,
Well_28,422,2879,Зона_А,core,2415.5,0.0961,26.8,2.565,0.2115,0.5734,Lab_A,2015.0,,,,
Well_28,422,2879,Зона_А,core,2457.5,0.062,0.21,2.591,0.4593,0.3691,Lab_B,2000.0,,,,
Well_28,422,2879,Зона_А,core,2471.2,0.0655,0.18,2.574,0.1323,0.5288,Lab_A,2008.0,,,,
Well_28,422,2879,Зона_А,core,2509.2,0.0502,0.05,2.622,0.3975,0.3904,Lab_B,2015.0,,,,
Well_28,422,2879,Зона_А,core,2521.1,0.0807,0.43,2.564,0.2091,0.6191,Lab_B,2018.0,,,,
Well_28,422,2879,Зона_А,core,2561.6,0.0933,4.58,2.512,0.4007,0.3716,Lab_B,2012.0,,,,
Well_28,422,2879,Зона_А,core,2580.4,0.0101,0.01,2.664,0.3208,0.5892,Lab_A,2015.0,,,,
Well_28,422,2879,Зона_А,core,2669.4,0.0833,0.69,2.567,0.1987,0.7025,Lab_A,2018.0,,,,
Well_28,422,2879,Зона_А,core,2707.2,0.1204,30.62,2.488,0.2455,0.6502,Lab_A,2008.0,,,,
Well_28,422,2879,Зона_А,core,2736.4,0.0715,2.99,2.59,0.2266,0.5243,Lab_B,2008.0,,,,
Well_28,422,2879,Зона_А,core,2742.3,0.0334,0.01,2.679,0.3187,0.5172,Lab_B,1995.0,,,,
Well_28,422,2879,Зона_А,core,2812.8,0.1019,56.77,2.531,0.3722,0.4981,Lab_A,2005.0,,,,
Well_28,422,2879,Зона_А,core,2952.1,0.0781,2.62,2.595,0.1501,0.6303,Lab_A,2012.0,,,,
Well_28,422,2879,Зона_А,core,2999.2,0.0779,0.83,2.59,0.133,0.5616,Lab_C,2000.0,,,,
Well_28,422,2879,Зона_А,core,3016.0,0.0592,0.04,2.581,0.1162,0.5628,Lab_B,1995.0,,,,
Well_28,422,2879,Зона_А,core,3049.5,0.0538,0.05,2.599,0.1415,0.8038,Lab_A,2015.0,,,,
Well_28,422,2879,Зона_А,gis,1951.4,,,,,,,,38.457,31.01,12.339,187.02
Well_28,422,2879,Зона_А,gis,1951.9,,,,,,,,43.165,31.61,,174.25
Well_28,422,2879,Зона_А,gis,1952.4,,,,,,,,38.079,32.51,11.567,176.28
Well_28,422,2879,Зона_А,gis,1952.9,,,,,,,,33.548,34.98,11.276,179.2
Well_28,422,2879,Зона_А,gis,1953.4,,,,,,,,20.896,33.43,12.766,193.96
Well_28,422,2879,Зона_А,gis,1953.9,,,,,,,,46.872,31.75,11.62,197.93
Well_28,422,2879,Зона_А,gis,1954.4,,,,,,,,13.964,35.87,11.785,187.46
Well_28,422,2879,Зона_А,gis,1954.9,,,,,,,,24.205,31.29,12.112,195.74
